Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,21866372.971322503,1142502.7412467967,0.35635779629438735,31.43439528077463
xgboost,0.25,18037777.875374604,1838810.1487984862,0.513195848422309,20.55238933801601
xgboost,0.5,13536385.649320401,2071051.0274314932,0.6447311082595651,17.43215424887656
xgboost,0.75,12534897.660366964,1869459.5201659238,0.6852152257782639,20.599945623075403
xgboost,0.9,11104435.025989505,1216671.6510378988,0.7316266832787021,27.86882363344504
xgboost,mean,13906302.810221326,,,19.69497523225858
xgboost,Total,,8138495.088680599,,
rf,0.1,17217594.967543572,1134829.6290227713,0.36068053328472727,35.2238069251403
rf,0.25,14377176.57648433,1778557.9948805552,0.5291469234628249,22.58590811922697
rf,0.5,7793475.410800691,2002574.827419684,0.6564775420106266,18.622448166323192
rf,0.75,8223215.334762879,1673323.0575078183,0.7182412268488845,22.64130783388018
rf,0.9,10289987.256907158,1042396.6982690571,0.7700682357354582,30.57223001867242
rf,mean,9852633.204630703,,,19.08590495495629
rf,Total,,7631682.207099887,,
lgb,0.1,21891127.01697022,1176117.7985174654,0.3374203629226543,30.615148588431957
lgb,0.25,19270836.535025973,1828535.6811879342,0.5159158973035572,20.240752170286587
lgb,0.5,13509640.898698857,2082133.4639284858,0.6428300228300317,17.480737677522896
lgb,0.75,13492082.766185181,1941015.385944893,0.6731664508192455,19.880778338906318
lgb,0.9,14409041.506112352,1463811.1145409201,0.6771126839951254,28.11310643991488
lgb,mean,13136776.052180406,,,19.3675526179579
lgb,Total,,8491613.4441197,,
nn,0.1,22304821.57751973,1142930.2291151243,0.3561169660331597,42.892517323678724
nn,0.25,15413324.176977178,1919978.3627219743,0.4917074834924555,25.813979323442542
nn,0.5,7465764.068942937,2192130.601630782,0.6239610714191243,21.253864233931836
nn,0.75,11822329.033091577,2035029.814427492,0.657336040840187,33.201762955503355
nn,0.9,14341623.802068952,1104011.162158897,0.7564773231683618,40.08689187438744
nn,mean,7866037.003531104,,,21.820397824101875
nn,Total,,8394080.17005427,,
Average_Ensemble,0.1,20607597.604100097,1091988.2351578583,0.3848157306558434,33.78659272060799
Average_Ensemble,0.25,16553825.03794335,1746514.636772161,0.5376300394429328,21.04180376748423
Average_Ensemble,0.5,9251796.418645259,1971816.5575717895,0.6617538274792019,17.700074916321775
Average_Ensemble,0.75,8976049.886763884,1680432.7076678807,0.7170440842543061,23.506444496606495
Average_Ensemble,0.9,10616399.060055997,1064725.2484161141,0.7651430062740571,31.587542896766298
Average_Ensemble,mean,9798150.315855633,,,18.997122887552433
Average_Ensemble,Total,,7555477.385585804,,
